Protein.Group,Aug_F01_1,Aug_F02_1,Aug_F03_1,Aug_F04_1,Aug_F05_1,Aug_F06_1,Aug_F07_1,Aug_F08_1,Aug_F09_1,Aug_F10_1,Aug_F11_1,Aug_F01_2,Aug_F02_2,Aug_F03_2,Aug_F04_2,Aug_F05_2,Aug_F06_2,Aug_F07_2,Aug_F08_2,Aug_F09_2,Aug_F10_2,Aug_F11_2,Aug_F01_3,Aug_F02_3,Aug_F03_3,Aug_F04_3,Aug_F05_3,Aug_F06_3,Aug_F07_3,Aug_F08_3,Aug_F09_3,Aug_F10_3,Aug_F11_3,Sep_F01_1,Sep_F02_1,Sep_F03_1,Sep_F04_1,Sep_F05_1,Sep_F06_1,Sep_F07_1,Sep_F08_1,Sep_F09_1,Sep_F10_1,Sep_F11_1,Sep_F01_2,Sep_F02_2,Sep_F03_2,Sep_F04_2,Sep_F05_2,Sep_F06_2,Sep_F07_2,Sep_F08_2,Sep_F09_2,Sep_F10_2,Sep_F11_2,Sep_F01_3,Sep_F02_3,Sep_F03_3,Sep_F04_3,Sep_F05_3,Sep_F06_3,Sep_F07_3,Sep_F08_3,Sep_F09_3,Sep_F10_3,Sep_F11_3
A0A075B5T2;A0A075B5T3,0.045784081,0.056911322,0.058308522,0.060924318,0.082746083,0.09802389,0.093514559,0.117974376,0.122151196,0.176796372,0.08686528,0.064575485,0.056817471,0.066820511,0.069345987,0.085971996,0.081260913,0.088640387,0.086241464,0.11825046,0.196549136,0.085526191,0.049621032,0.058010472,0.067878989,0.071135867,0.08640953,0.089863773,0.083787682,0.098611268,0.125198737,0.174402839,0.095079811,0.05951989,0.02245225,0.073148096,0.065944069,0.04388737,0.082384786,0.116131615,0.102641537,0.198703953,0.15223064,0.082955794,0.040451864,0.052693461,0.066226554,0.078950205,0.064800446,0.072634475,0.084399615,0.072970994,0.097263614,0.239235137,0.130373636,0.044367834,0.042267305,0.051870497,0.012371287,0.095127401,0.099099238,0.090205973,0.114266361,0.182950761,0.179406515,0.088066829
A0A075B5T3,0.016352618,0.018359546,0.079465057,0.100625932,0.079196098,0.055773618,0.08693729,0.058470411,0.183958924,0.276245896,0.04461461,0.013084373,0.038529578,0.066723173,0.066886666,0.057057537,0.081853292,0.104731341,0.061080962,0.177233967,0.289382688,0.043436422,0.015122387,0.021683397,0.112457294,0.083445753,0.048815322,0.029483882,0.057162608,0.097845756,0.202207687,0.279155356,0.052620558,0.022336354,0.021586009,0.018781422,0.05933182,0.025311181,0.054042301,0.13327321,0.096851067,0.17487763,0.293371139,0.100237867,0.025056101,0.017668857,0.024012644,0.052197775,0.032635603,0.057962276,0.136318377,0.044174269,0.098684569,0.479109658,0.03217987,0.012643705,0.012957582,0.010139205,0.503289409,0.014230028,0.088965341,0.052108629,0.086733402,0.068701499,0.129933825,0.020297375
A0A075B5V0,0.077727007,0.064510634,0.098209403,0.107548874,0.105050314,0.097524185,0.125333045,0.062945423,0.095401744,0.100592727,0.065156643,0.078625852,0.054266135,0.063075714,0.115552752,0.120965457,0.096464792,0.102916247,0.054920764,0.115178989,0.126035123,0.071998175,0.083124714,0.056400296,0.09638034,0.11801079,0.106252734,0.074716834,0.069702498,0.029197751,0.139648646,0.133900576,0.09266482,0.016959286,0.01595616,0.01759675,0.016938012,0.018894815,0.01249169,0.017035074,0.013942754,0.826960706,0.024720186,0.018504566,0.020365359,0.013215022,0.020900851,0.021371369,0.023901882,0.093836053,0.01887672,0.022097409,0.648501504,0.090518363,0.026415469,0.07344515,0.075796616,0.069946587,0.068711527,0.061722817,0.297759424,0.057885751,0.058940732,0.133303977,0.022301161,0.080186259
A0A075B5V1,0.058170111,0.111909291,0.095347515,0.086965367,0.097226467,0.09138392,0.075236646,0.103509224,0.099959046,0.098399093,0.081893319,0.084074801,0.106259784,0.095607051,0.081406119,0.083913796,0.080837848,0.091370458,0.103459588,0.110648917,0.088010222,0.074411416,0.073696726,0.082700887,0.081657009,0.095662396,0.092703686,0.109987989,0.081968534,0.095880491,0.100675343,0.09564052,0.089426419,0.058996574,0.072250431,0.076313145,0.071065606,0.071097041,0.094006848,0.07517333,0.114130643,0.254571527,0.073359402,0.039035454,0.037058285,0.053518682,0.057217405,0.078800312,0.09969264,0.084792497,0.127707053,0.117137432,0.060392226,0.24253256,0.041150907,0.051910761,0.069499137,0.065566397,0.186644153,0.080229805,0.087859784,0.105803208,0.115315341,0.072592161,0.090330154,0.074249099
A0A075B5Y4,0.10372844,0.124625304,0.130686345,0.11242407,0.108578179,0.086566797,0.068107761,0.064121146,0.08332336,0.064294,0.053544597,0.137834306,0.133919149,0.112909035,0.098400992,0.106818831,0.075442798,0.050059256,0.072831335,0.091111251,0.067861633,0.052811415,0.121809759,0.115248942,0.111516004,0.099606972,0.104631962,0.142923719,0.062360079,0.078246741,0.068478281,0.033698508,0.061479033,0.060624952,0.04911179,0.016843474,0.055277934,0.289447648,0.040008926,0.075091754,0.019586697,0.375734351,0.006381122,0.011891353,0.060104858,0.064095821,0.057676373,0.063792214,0.059510767,0.067035714,0.086384972,0.090541607,0.041879563,0.400440713,0.008537397,0.165525984,0.11950228,0.13217197,0.035302072,0.125949271,0.097436205,0.064847489,0.106390544,0.069723514,0.065985725,0.017164946
A0A075B5Y4;A0A0A6YXN4,0.097569932,0.056153799,0.003058214,0.003864653,0.003423482,0.004033736,0.292082807,0.16627427,0.117397444,0.079615028,0.176526635,0.076660777,0.052367639,0.003277926,0.002382639,0.002956123,0.00251129,0.180864488,0.19328028,0.217879854,0.118132639,0.149686344,0.035282082,0.169203235,0.003559528,0.003144329,0.003798206,0.004247155,0.144859313,0.191011165,0.226361271,0.053795756,0.164737958,0.11729459,0.132176941,0.137817913,0.073897135,0.082859014,0.049942263,0.06371039,0.049432866,0.236558217,0.05141697,0.004893701,0.055929497,0.110649948,0.123464273,0.141464616,0.131933478,0.092420813,0.005350649,0.046609857,0.041162337,0.246693904,0.004320628,0.079002408,0.076008064,0.087693335,0.122643268,0.095009116,0.115211844,0.101883009,0.098864661,0.124403005,0.095909389,0.003371899
A0A075B663,0.01535456,0.034964853,0.064825454,0.063242275,0.07373854,0.073532931,0.122612071,0.124976924,0.117328823,0.183767499,0.125656068,0.034940586,0.064525412,0.069550653,0.086041848,0.0880562,0.086768879,0.100477756,0.120828967,0.114177266,0.155410141,0.079222293,0.041913323,0.03628247,0.021732234,0.047817122,0.093318461,0.105366384,0.090004544,0.120374806,0.124295877,0.199094771,0.119800007,0.032902239,0.030934826,0.060594167,0.062169042,0.106394588,0.07191365,0.058357115,0.087123799,0.294308069,0.10289195,0.092410555,0.043341878,0.056810864,0.058232821,0.04329423,0.03175628,0.032582566,0.091253475,0.08616009,0.20763384,0.315819752,0.033114205,0.040072187,0.048319669,0.059034551,0.23134043,0.082929642,0.095945014,0.05212657,0.066037935,0.047492904,0.184308729,0.092392369
A0A075B680;A0A0A6YXZ4;A0A0G2JFL3,0.032748829,0.074166032,0.052128794,0.063922308,0.08683243,0.105020992,0.116510863,0.07945989,0.083600912,0.145066372,0.160542578,0.035635189,0.043964482,0.083998087,0.100980471,0.091313187,0.099274399,0.131740085,0.087745255,0.091950692,0.118309333,0.11508882,0.059183901,0.051134876,0.080139361,0.105886095,0.092339019,0.101728587,0.08594235,0.085881089,0.083457702,0.114337222,0.139969799,0.056382033,0.044828954,0.053200789,0.055183579,0.058362411,0.078198874,0.050434406,0.038866104,0.266020635,0.252024039,0.046498176,0.016980244,0.018870318,0.016264142,0.018274118,0.02023219,0.045551298,0.018202228,0.018384543,0.017892705,0.793998098,0.015350115,0.060397072,0.070287997,0.039200191,0.06355133,0.065307108,0.113790915,0.054710699,0.064346184,0.067747644,0.317076184,0.083584675
A0A075B6A3;A0A0A6YXW6,0.12175921,0.044645944,0.042360044,0.055411472,0.088008272,0.079381913,0.12266119,0.09547703,0.09173569,0.110853436,0.147705799,0.075416523,0.042331539,0.053839384,0.088352056,0.078477726,0.109530242,0.126903463,0.09034425,0.074880543,0.095680529,0.164243743,0.083767738,0.032227269,0.062576895,0.067677239,0.088079415,0.132670102,0.103330421,0.072601545,0.092094808,0.105980891,0.158993677,0.030747892,0.06220182,0.039772449,0.041615246,0.158566502,0.059527964,0.105638448,0.098903087,0.131043245,0.070057963,0.201925384,0.040824768,0.022610733,0.026348581,0.057125412,0.048193933,0.091834829,0.102745682,0.104223022,0.171229868,0.206206897,0.128656275,0.040446737,0.084819873,0.066766078,0.144286315,0.053314531,0.085934853,0.095977442,0.091507741,0.076505779,0.138096759,0.122343892
A0A087WNW8;A0A087WP42;A0A087WQ31;A0A087WQ95;A0A087WRE8;A0A087WRK0;A0A087WS18;A0A0A6YXZ1;A0A0N4SUT7;J3QP81,0.135046968,0.164307341,0.247207386,0.175647811,0.037188597,0.031852271,0.036088005,0.035136339,0.038333907,0.037892474,0.061298899,0.168919198,0.259173874,0.205076167,0.10102393,0.030407945,0.037925675,0.022760885,0.033167223,0.038702269,0.042842077,0.060000757,0.251516859,0.211854209,0.1543879,0.150674751,0.028850312,0.031298757,0.032728628,0.027431046,0.025210936,0.03758442,0.048462183,0.089945157,0.01549364,0.015037058,0.015775128,0.016978493,0.008933275,0.00973178,0.062155694,0.737057066,0.017388732,0.011503976,0.179349058,0.048822518,0.044957369,0.047925801,0.04753913,0.041044255,0.048870984,0.14739173,0.18897378,0.166985745,0.038139629,0.210029803,0.044541424,0.048902913,0.05100767,0.052987291,0.029036024,0.045927245,0.205878951,0.206448696,0.050273171,0.054966814
A0A087WP24;A0A087WPF8;A0A087WRJ2;A0A087WSR2;E9QN99,0.094306485,0.101810918,0.118869463,0.11055872,0.069865864,0.075047896,0.095694798,0.094539782,0.097305906,0.0772073,0.064792869,0.10245264,0.109997281,0.158482235,0.068453573,0.069604567,0.089749625,0.063568939,0.109163534,0.094547049,0.085988912,0.047991644,0.113690504,0.113293308,0.07638746,0.102367873,0.090388933,0.071774615,0.107097206,0.106069167,0.087228233,0.079575749,0.052126951,0.009581908,0.007327636,0.226475993,0.009640723,0.01068781,0.006346729,0.32444015,0.008476499,0.05124352,0.014780202,0.33099883,0.008683048,0.008657436,0.444973421,0.009157231,0.010644746,0.007683642,0.388674906,0.009090824,0.010618151,0.032445995,0.069370601,0.009479672,0.010549485,0.419831816,0.006369807,0.009317642,0.00857892,0.230814012,0.009686583,0.007434006,0.008914201,0.279023856
A0A087WPL5;E9QNN1,0.059252434,0.044436365,0.052177255,0.04618294,0.041053152,0.043511439,0.067490964,0.228514577,0.212521384,0.136360002,0.068499488,0.047328068,0.038528261,0.03765365,0.022568662,0.034198792,0.037509269,0.162885172,0.252342,0.155452299,0.146924252,0.064609574,0.065114488,0.048308082,0.05038158,0.045536294,0.051772128,0.058335924,0.198921495,0.207201298,0.128750585,0.070477926,0.0752002,0.017083117,0.015507953,0.017528451,0.013892266,0.017847271,0.014314212,0.015886313,0.014530277,0.795990103,0.053442047,0.023977989,0.015231203,0.013521625,0.011814189,0.003636581,0.018198105,0.011465651,0.011147332,0.013946585,0.188030144,0.694859642,0.018148941,0.068304432,0.06289408,0.059340426,0.060965707,0.072315193,0.054902367,0.05834489,0.067981866,0.218912311,0.193088756,0.082949972
A0A087WQH8,0.231099431,0.17620817,0.27233762,0.037571255,0.0096047,0.219151614,0.010061641,0.009465198,0.009957656,0.011051861,0.013490853,0.315181879,0.182068663,0.183697528,0.104037797,0.011185517,0.10104281,0.013245923,0.014654461,0.017725163,0.023577228,0.03358303,0.174391101,0.304783424,0.282754051,0.110444896,0.011411278,0.058236728,0.010696067,0.009197079,0.012344359,0.015606138,0.010134879,0.208619913,0.153552305,0.192139034,0.11864583,0.021053409,0.053992173,0.161791317,0.008749191,0.057175341,0.008934141,0.015347347,0.174946324,0.214567743,0.123826756,0.132716338,0.073401759,0.122507573,0.078207315,0.01055399,0.017245073,0.040712138,0.011314991,0.178042642,0.262062588,0.248614596,0.01835164,0.064698662,0.170248961,0.012876438,0.007378322,0.010988286,0.009389733,0.017348131
A0A087WQS0;A0A1D5RM59;E9Q0S6,0.203345855,0.149434288,0.1571866,0.117498042,0.070162184,0.057528187,0.053512403,0.063164428,0.064099565,0.051284186,0.012784263,0.219550933,0.151473855,0.147689064,0.080904693,0.077934437,0.066128662,0.041316782,0.049878782,0.07858973,0.073919973,0.012613089,0.208927115,0.163969042,0.123959564,0.092583453,0.083092019,0.065177581,0.06047745,0.066389817,0.068878517,0.052465824,0.014079618,0.096008543,0.068571957,0.141824863,0.061833502,0.202806149,0.028639799,0.02898413,0.063415242,0.263264315,0.019638769,0.02501273,0.169421511,0.108979315,0.117871275,0.085523532,0.074158871,0.02577559,0.030617464,0.032688322,0.135337002,0.205853238,0.013773881,0.240557596,0.144748661,0.149509137,0.196838879,0.10896226,0.051462497,0.03208804,0.025552679,0.028382347,0.015033125,0.00686478
A0A087WR45;Q3UKG2,0.141080461,0.072114992,0.079644882,0.119687398,0.089667608,0.100892086,0.113358347,0.090070063,0.059080015,0.084681122,0.049723026,0.130839695,0.066388042,0.114714551,0.092454952,0.106161571,0.118390922,0.080394685,0.101110662,0.097175479,0.062691784,0.029677657,0.123797046,0.065236486,0.101727533,0.087361829,0.103242939,0.110494082,0.151989865,0.12073171,0.071165349,0.023656741,0.040596421,0.020518971,0.071025923,0.136636497,0.130642588,0.31094447,0.085674272,0.030451841,0.047290877,0.082647316,0.018272002,0.065895244,0.143291126,0.035699371,0.090093738,0.059761303,0.089949943,0.06777288,0.045394691,0.037136557,0.05522755,0.349447281,0.026225559,0.1201587,0.081329804,0.059909937,0.17634191,0.141611323,0.14986803,0.039335554,0.041428034,0.079385806,0.021674962,0.088955939
A0A087WSE3;E9QQ25,0.261587116,0.149464462,0.162155032,0.025303883,0.095477208,0.094353085,0.097538043,0.024123038,0.02550987,0.033057075,0.031431188,0.188702427,0.100052995,0.424534306,0.012561084,0.078996381,0.062964299,0.04067714,0.016975461,0.020169225,0.019747157,0.034619526,0.365319705,0.10863941,0.125339805,0.021262703,0.122023594,0.070790333,0.07948986,0.023897952,0.027154744,0.033601638,0.022480256,0.122704214,0.06261498,0.112608658,0.22559727,0.081970602,0.073560583,0.027135788,0.079077642,0.146679813,0.042045428,0.026005021,0.144105085,0.151446643,0.118040369,0.144697616,0.15612975,0.101926193,0.016889075,0.068377369,0.029371086,0.043751941,0.025264873,0.069840008,0.102912463,0.064740167,0.53922781,0.121768968,0.024055882,0.012552182,0.022247252,0.01563038,0.014163535,0.012861352
A0A087WSK5;A0A0R4J078,0.098974253,0.097765441,0.133033449,0.118110536,0.116294417,0.108964358,0.092213488,0.113041792,0.05665781,0.046476381,0.018468074,0.119639556,0.11021705,0.140381795,0.097010782,0.102786513,0.101205702,0.068777138,0.082943122,0.094106684,0.051928306,0.031003351,0.09633082,0.1156441,0.115617189,0.11983694,0.097583872,0.095016794,0.123012499,0.090008353,0.079574814,0.051611,0.015763619,0.010866239,0.143204334,0.20923955,0.118270337,0.025248469,0.17929025,0.040612348,0.131923683,0.077624132,0.028853882,0.034866776,0.027854013,0.101933973,0.133569193,0.12724206,0.272514419,0.124994732,0.044988189,0.022666115,0.073677848,0.032307971,0.038251487,0.035368141,0.136888996,0.11365916,0.188002297,0.12885514,0.109302346,0.10068082,0.106680651,0.053173956,0.008909383,0.018479111
A0A087WSP5;Q8C3V4;Q99K94,0.325940556,0.087803627,0.064098057,0.095741939,0.066814335,0.062392163,0.049520795,0.037491435,0.07329481,0.112201661,0.024700622,0.136179159,0.102875738,0.109418728,0.095360954,0.089629731,0.076896747,0.061885753,0.067289324,0.092810214,0.115247987,0.052405665,0.123683497,0.080214213,0.089612357,0.086117499,0.059488091,0.168192145,0.060085995,0.05558133,0.097592395,0.13564321,0.043789268,0.098683221,0.08650573,0.065191126,0.079695004,0.06792829,0.115758232,0.054355909,0.050559553,0.047762391,0.302220878,0.031339666,0.112478992,0.080263796,0.099761548,0.07703793,0.063304028,0.040175054,0.018456262,0.044256898,0.011423427,0.397759771,0.055082294,0.265012387,0.195988292,0.133139732,0.035735556,0.09879481,0.048581283,0.047020943,0.011680556,0.013024567,0.057099623,0.09392225
A0A0A0MQC1,0.094056452,0.019724816,0.103254902,0.113982247,0.014878845,0.095568552,0.015338344,0.186724397,0.189789069,0.150277241,0.016405135,0.061921129,0.015057444,0.140506218,0.122669045,0.014588863,0.188762027,0.013820251,0.118629964,0.175547559,0.132854154,0.015643347,0.065031405,0.022917008,0.11906539,0.145773609,0.021388352,0.145966743,0.019602771,0.064738714,0.185611698,0.172019978,0.037884331,0.061873328,0.059084108,0.01999843,0.100974029,0.029575666,0.046187391,0.034568526,0.055789537,0.514777125,0.015280111,0.06189175,0.079062973,0.080907723,0.065608908,0.098200581,0.120506692,0.122814047,0.170281501,0.104005554,0.028140191,0.051100998,0.07937083,0.043411387,0.169213999,0.043801342,0.448254465,0.033738776,0.040076681,0.081785749,0.046181925,0.020374841,0.012805192,0.060355643
A0A0A6YW07;Q80ZJ2;Q924B0,0.056252009,0.04018268,0.043942071,0.051339718,0.097731104,0.072898302,0.130904915,0.049684649,0.105691247,0.107005154,0.244368152,0.0525499,0.114993585,0.027894766,0.154160576,0.137650976,0.140669542,0.039858312,0.131563616,0.029058712,0.064725729,0.106874286,0.015972976,0.021512212,0.05277715,0.042273647,0.116362556,0.094704551,0.195934042,0.079535867,0.089182413,0.150395689,0.141348896,0.034156326,0.018574821,0.009320781,0.009926343,0.007295841,0.066717445,0.006562257,0.044774893,0.443493031,0.107448576,0.251729687,0.040035753,0.0295914,0.010354686,0.009446129,0.011110144,0.054088404,0.010076824,0.099039871,0.029157053,0.49304724,0.214052495,0.029026786,0.056397773,0.009073557,0.009903813,0.009390303,0.071226071,0.007284509,0.090906952,0.044517284,0.147996974,0.524275978
